text,type
"Disease: {'disease_id': 'dis_00011', 'disease_name': '17q23 1q23 2 Microdeletion Syndrome', 'description': nan, 'causes': 'What causes 17q23.2q23.2 microdeletion syndrome? The syndrome is caused by an interstitial deletion (a deletion that does not involve the ends of a chromosome) encompassing bands 23.1 to 23.2 on the long (q) arm of chromosome 17. Two transcription factors, TBX2 and TBX4, which belong to a family of genes implicated in a variety of developmental pathways including those of heart and limbs, are found within this 2.2Mb region. This suggests that they may play a part in the symptoms seen in this condition.', 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 2}",disease
"Disease: {'disease_id': 'dis_00012', 'disease_name': '18 Hydroxylase Deficiency', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00013', 'disease_name': '18q Deletion Syndrome', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00014', 'disease_name': '19p13 12 Microdeletion Syndrome', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00015', 'disease_name': '1p36 Deletion Syndrome', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00016', 'disease_name': '1q21 1 Microdeletion', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00017', 'disease_name': '1q21 1 Microdeletion Syndrome', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00018', 'disease_name': '1q44 Microdeletion Syndrome', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00019', 'disease_name': '2 4 Dienoyl Coa Reductase Deficiency', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00020', 'disease_name': '2 Hydroxyglutaric Aciduria', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00021', 'disease_name': '2 Methyl 3 Hydroxybutyric Aciduria', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00022', 'disease_name': '2 Methylbutyryl Coa Dehydrogenase Deficiency', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 2}",disease
"Disease: {'disease_id': 'dis_00023', 'disease_name': '2009 H1n1 Flu', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00024', 'disease_name': '20p12 3 Microdeletion Syndrome', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00025', 'disease_name': '21 Hydroxylase Deficiency', 'description': nan, 'causes': 'What causes salt-wasting, simple virilizing, and nonclassical 21-hydroxylase-deficient congenital adrenal hyperplasia? Salt-wasting, simple virilizing, and late-onset 21-hydroxylase deficiency are all caused by mutations in the human 21-hydroxylase gene (CYP21A2).', 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 3}",disease
"Disease: {'disease_id': 'dis_00026', 'disease_name': '22q11 2 Deletion Syndrome', 'description': nan, 'causes': ""What causes 22q11.2 deletion syndrome? 22q11.2 deletion syndrome is caused by a missing piece (deletion) of part of chromosome 22 in each cell. The deletion occurs near the middle of the chromosome at a location designated q11.2. Most people with 22q11.2 deletion syndrome are missing a piece of the chromosome that contains about 30 to 40 genes, many of which have not been well characterized. Some affected people have smaller deletions. Researchers are working to learn more about all of the genes that contribute to the features of 22q11.2 deletion syndrome. The deletion of a particular gene, TBX1, is probably responsible for many of the syndrome's characteristic signs (such as heart defects, a cleft palate, distinctive facial features, hearing loss, and low calcium levels). Loss of this gene may also contribute to behavioral problems. The loss of another gene, COMT, may also cause increased risk of behavioral problems and mental illness in affected people. The other genes that are deleted likely contribute to the various features of 22q11.2 deletion syndrome."", 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 3}",disease
"Disease: {'disease_id': 'dis_00027', 'disease_name': '22q11 2 Duplication', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00028', 'disease_name': '22q11 2 Duplication Syndrome', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00029', 'disease_name': '22q13 3 Deletion Syndrome', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 2}",disease
"Disease: {'disease_id': 'dis_00030', 'disease_name': '2q37 Deletion Syndrome', 'description': nan, 'causes': 'What causes 2q37 deletion syndrome? 2q37 deletion syndrome is caused by a deletion of genetic material from a specific region in the long (q) arm of chromosome 2. The deletion occurs near the end of the chromosome at a location designated 2q37. The size of the deletion varies among affected individuals. The signs and symptoms of this disorder are probably related to the loss of multiple genes in this region.', 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 3}",disease
"Disease: {'disease_id': 'dis_00031', 'disease_name': '3 Alpha Methylcrotonyl Coa Carboxylase 2 Deficiency', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00032', 'disease_name': '3 Beta Hydroxysteroid Dehydrogenase Deficiency', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00033', 'disease_name': '3 Hydroxy 3 Methylglutaryl Coa Lyase Deficiency', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00034', 'disease_name': '3 Hydroxyacyl Coa Dehydrogenase Deficiency', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00035', 'disease_name': '3 Hydroxyisobutyric Aciduria', 'description': nan, 'causes': ""What causes 3-hydroxyisobutyric aciduria? In many affected people, the exact underlying cause of 3-hydroxyisobutyric aciduria is poorly understood. Scientists believe that some cases are caused by changes (mutations) in the ALDH6A1 gene. This gene encodes an enzyme called methylmalonate semialdehyde dehydrogenase, which helps the body break down certain amino acids (the building blocks of protein) found in food. If this gene isn't working properly, the body is unable to break down the amino acids valine and thymine which leads to a build-up of toxic substances in the body and the many signs and symptoms of 3-hydroxyisobutyric aciduria."", 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 3}",disease
"Disease: {'disease_id': 'dis_00036', 'disease_name': '3 M Syndrome', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00037', 'disease_name': '3 Methylcrotonyl Coa Carboxylase Deficiency', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00038', 'disease_name': '3 Methylglutaconic Aciduria Type V', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00039', 'disease_name': '3 Methylglutaconyl Coa Hydratase Deficiency', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00040', 'disease_name': '3mc Syndrome', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00041', 'disease_name': '46 Xx Testicular Disorder Of Sex Development', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 2}",disease
"Disease: {'disease_id': 'dis_00042', 'disease_name': '47 Xxx Syndrome', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 2}",disease
"Disease: {'disease_id': 'dis_00043', 'disease_name': '47 Xyy Syndrome', 'description': nan, 'causes': ""What causes 47, XYY syndrome? 47,XYY syndrome is caused by the presence of an extra copy of the Y chromosome in each of a male's cells. This is typically due to a random event during the formation of a sperm cell in the father, usually before conception (fertilization of the egg). In this case, the father's two Y chromosomes do not separate when sperm cells are being made. If two Y chromosomes are present in a sperm that fertilizes an egg (with an X chromosome), the resulting embryo will be a male with an extra Y chromosome. It is also possible that a similar random event could occur very early in an embryo's development. It is not fully understood why an extra copy of the Y chromosome leads to an increased risk for the features associated with 47, XYY syndrome in some males. Importantly, there is nothing either parent can do (or not do) to cause or prevent 47, XYY syndrome."", 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 2}",disease
"Disease: {'disease_id': 'dis_00044', 'disease_name': '48 Xxyy Syndrome', 'description': nan, 'causes': ""What causes 48,XXYY? 48,XXYY syndrome is a condition related to the X and Y chromosomes (the sex chromosomes). People normally have 46 chromosomes in each cell. Two of the 46 chromosomes, known as X and Y, are called sex chromosomes because they help determine whether a person will develop male or female sex characteristics. Females typically have two X chromosomes (46,XX), and males have one X chromosome and one Y chromosome (46,XY). 48,XXYY syndrome results from the presence of an extra copy of both sex chromosomes in each of a male's cells (48,XXYY). Extra copies of genes on the X chromosome interfere with male sexual development, preventing the testes from functioning normally and reducing the levels of testosterone. Many genes are found only on the X or Y chromosome, but genes in areas known as the pseudoautosomal regions are present on both sex chromosomes. Extra copies of genes from the pseudoautosomal regions of the extra X and Y chromosome contribute to the signs and symptoms of 48,XXYY syndrome; however, the specific genes have not been identified.[5209]"", 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 3}",disease
"Disease: {'disease_id': 'dis_00045', 'disease_name': '49 Xxxxx Syndrome', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00046', 'disease_name': '5 Alpha Reductase Deficiency', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00047', 'disease_name': '5q Minus Syndrome', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00048', 'disease_name': '5q Syndrome', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00049', 'disease_name': '5q14 3 Microdeletion Syndrome', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00050', 'disease_name': '6q24 Related Transient Neonatal Diabetes Mellitus', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00051', 'disease_name': '7q11 23 Duplication Syndrome', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00052', 'disease_name': '8p11 Myeloproliferative Syndrome', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00053', 'disease_name': '8p23 1 Duplication Syndrome', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00054', 'disease_name': '8q12 Microduplication Syndrome', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00055', 'disease_name': '9q22 3 Microdeletion', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00056', 'disease_name': 'Aarskog Scott Syndrome', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00057', 'disease_name': 'Abcd Syndrome', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00058', 'disease_name': 'Abdominal Adhesions', 'description': nan, 'causes': 'Abdominal surgery is the most frequent cause of abdominal adhesions. Surgery-related causes include - cuts involving internal organs - handling of internal organs - drying out of internal organs and tissues - contact of internal tissues with foreign materials, such as gauze, surgical gloves, and stitches - blood or blood clots that were not rinsed away during surgery Abdominal adhesions can also result from inflammation not related to surgery, including - appendix rupture - radiation treatment - gynecological infections - abdominal infections Rarely, abdominal adhesions form without apparent cause.', 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 5}",disease
"Disease: {'disease_id': 'dis_00059', 'disease_name': 'Abdominal Aortic Aneurysm', 'description': nan, 'causes': nan, 'severity_level': 'medium', 'urgency_level': 'medium', 'source_count': 2}",disease
"Disease: {'disease_id': 'dis_00060', 'disease_name': 'Abdominal Hernia', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00061', 'disease_name': 'Abdominal Wall Defect', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00062', 'disease_name': 'Abetalipoproteinemia', 'description': nan, 'causes': 'What causes abetalipoproteinemia? Abetalipoproteinemia is caused by changes (mutations) in the MTTP gene. The MTTP gene gives the body instructions to make a protein needed for creating beta-lipoproteins. These lipoproteins are necessary for the body to absorb fats, cholesterol, and fat-soluble vitamins (vitamins A, D, E and K), and for transporting these substances in the blood. Mutations in the MTTP result in a lack of beta-lipoproteins, leading to an inability to absorb and transport these substances. This in turn leads to the nutritional and neurologic problems in affected people.', 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 3}",disease
"Disease: {'disease_id': 'dis_00063', 'disease_name': 'Ablepharon Macrostomia Syndrome', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00064', 'disease_name': 'Abruzzo Erickson Syndrome', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00065', 'disease_name': 'Abscess Of Nose', 'description': nan, 'causes': nan, 'severity_level': 'high', 'urgency_level': 'high', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00066', 'disease_name': 'Abscess Of The Lung', 'description': nan, 'causes': nan, 'severity_level': 'medium', 'urgency_level': 'medium', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00067', 'disease_name': 'Abscess Of The Pharynx', 'description': nan, 'causes': nan, 'severity_level': 'high', 'urgency_level': 'high', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00068', 'disease_name': 'Absence Of The Septum Pellucidum', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00069', 'disease_name': 'Absence Of Tibia', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00070', 'disease_name': 'Absent Patella', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00071', 'disease_name': 'Acanthamoeba Granulomatous Amebic Encephalitis Gae Keratitis', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 2}",disease
"Disease: {'disease_id': 'dis_00072', 'disease_name': 'Acanthoma', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00073', 'disease_name': 'Acanthosis Nigricans', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00074', 'disease_name': 'Acanthosis Nigricans Muscle Cramps Acral Enlargement', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00075', 'disease_name': 'Acariasis', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00076', 'disease_name': 'Acatalasemia', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 2}",disease
"Disease: {'disease_id': 'dis_00077', 'disease_name': 'Accessory Deep Peroneal Nerve', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00078', 'disease_name': 'Accessory Navicular Bone', 'description': nan, 'causes': 'What causes of accessory navicular bone? The cause of accessory navicular bone is unknown. In some cases, the condition may be related to the development of flatfoot also known as pes planus, in other cases it may be related to repeated foot and ankle sprains.', 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 3}",disease
"Disease: {'disease_id': 'dis_00079', 'disease_name': 'Aceruloplasminemia', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 2}",disease
"Disease: {'disease_id': 'dis_00080', 'disease_name': 'Achalasia', 'description': nan, 'causes': 'What causes achalasia? The lower esophageal sphincter, the ring-shaped muscle at the bottom of the esophagus, normally relaxes during swallowing. In people with achalasia, this muscle ring does not relax as well. The reason for this problem is damage to the nerves of the esophagus. In some people, this problem appears to be inherited. There is additionally a suspected autoimmune component involved in the development of achalasia as individuals with achalasia are more likely to have a concomitant autoimmune disease than the general population.', 'severity_level': 'medium', 'urgency_level': 'medium', 'source_count': 4}",disease
"Disease: {'disease_id': 'dis_00081', 'disease_name': 'Achard Syndrome', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00082', 'disease_name': 'Achondrogenesis', 'description': nan, 'causes': 'What causes achondrogenesis? Research has shown that changes (mutations) in the SLC26A2 and COL2A1 genes cause achondrogenesis types 1B and 2, respectively. The genetic cause of achondrogenesis type 1A remains unknown. The SLC26A2 gene provides instructions for making a protein that is important for the normal development of cartilage and for the conversion of cartilage to bone. The COL2A1 gene provides instructions for making a protein that forms a type of collagen found mostly in cartilage and in the clear gel that fills the eyeball (vitreous). Mutations in these genes result in the production of proteins that are unable to properly perform their jobs within the body.', 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 3}",disease
"Disease: {'disease_id': 'dis_00083', 'disease_name': 'Achondrogenesis Type 1a', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00084', 'disease_name': 'Achondrogenesis Type 2', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00085', 'disease_name': 'Achondroplasia', 'description': nan, 'causes': 'What causes achondroplasia? Achondroplasia is caused by mutations in the FGFR3 gene. This gene provides instructions for making a protein that is involved in the development and maintenance of bone and brain tissue. Two specific mutations in the FGFR3 gene are responsible for almost all cases of achondroplasia. Researchers believe that these mutations cause the FGFR3 protein to be overly active, which interferes with skeletal development and leads to the disturbances in bone growth seen in this condition.', 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 3}",disease
"Disease: {'disease_id': 'dis_00086', 'disease_name': 'Achondroplasia And Severe Combined Immunodeficiency', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00087', 'disease_name': 'Achondroplasia And Swiss Type Agammaglobulinemia', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00088', 'disease_name': 'Achromatopsia', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00089', 'disease_name': 'Achromatopsia 3', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00090', 'disease_name': 'Acid Lipase Disease', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00091', 'disease_name': 'Acinetobacter In Healthcare Settings', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 3}",disease
"Disease: {'disease_id': 'dis_00092', 'disease_name': 'Acne', 'description': 'Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents.', 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 5}",disease
"Disease: {'disease_id': 'dis_00093', 'disease_name': 'Acquired Cystic Kidney Disease', 'description': nan, 'causes': 'Researchers do not fully understand what causes cysts to grow in the kidneys of people with CKD. The fact that these cysts occur only in the kidneys and not in other parts of the body, as in PKD, indicates that the processes that lead to cyst formation take place primarily inside the kidneys.2', 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 4}",disease
"Disease: {'disease_id': 'dis_00094', 'disease_name': 'Acquired Pure Red Cell Aplasia', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00095', 'disease_name': 'Acral Peeling Skin Syndrome', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00096', 'disease_name': 'Acrocallosal Syndrome Schinzel Type', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00097', 'disease_name': 'Acrocapitofemoral Dysplasia', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00098', 'disease_name': 'Acrocephalopolydactylous Dysplasia', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00099', 'disease_name': 'Acrodermatitis Enteropathica', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00100', 'disease_name': 'Acrodysplasia Scoliosis', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00101', 'disease_name': 'Acrofacial Dysostosis Catania Type', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00102', 'disease_name': 'Acrokeratoelastoidosis Of Costa', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00103', 'disease_name': 'Acromegaloid Changes Cutis Verticis Gyrata And Corneal Leukoma', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
"Disease: {'disease_id': 'dis_00104', 'disease_name': 'Acromegaloid Facial Appearance Syndrome', 'description': nan, 'causes': nan, 'severity_level': 'low', 'urgency_level': 'low', 'source_count': 1}",disease
