disease_id,symptom_id,weight,confidence_score,symptom_severity_weight,evidence_count,source_count
dis_00092,sym_00384,2.0382,0.6794,3,337,1
dis_00092,sym_00385,1.494,0.498,3,247,1
dis_00092,sym_00388,1.5363,0.5121,3,254,1
dis_00092,sym_00395,2.2173,0.7391,3,376,2
dis_00092,sym_00396,1.494,0.498,3,247,1
dis_00114,sym_00003,1.5111,0.5037,3,865,2
dis_00114,sym_00209,1.5774,0.5258,3,903,2
dis_00114,sym_00219,1.5483,0.5161,3,886,2
dis_00114,sym_00384,1.5708,0.5236,3,899,2
dis_00114,sym_00385,1.5129,0.5043,3,866,2
dis_00114,sym_00386,1.4922,0.4974,3,854,2
dis_00114,sym_00387,1.4646,0.4882,3,838,2
dis_00114,sym_00388,1.5606,0.5202,3,893,2
dis_00114,sym_00395,1.5036,0.5012,3,860,2
dis_00114,sym_00396,1.4778,0.4926,3,846,2
dis_00114,sym_00434,2.0391,0.6797,3,1169,2
dis_00117,sym_00079,1.4376,0.4792,3,1154,2
dis_00117,sym_00080,2.0532,0.5133,4,1236,2
dis_00117,sym_00086,1.5249,0.5083,3,1224,2
dis_00117,sym_00147,1.5699,0.5233,3,1260,2
dis_00117,sym_00192,1.5423,0.5141,3,1238,2
dis_00117,sym_00214,1.4802,0.4934,3,1188,2
dis_00117,sym_00288,2.6165,0.5233,5,1260,2
dis_00117,sym_00343,1.4802,0.4934,3,1188,2
dis_00117,sym_00373,3.9036,0.9759,4,2350,2
dis_00117,sym_00464,2.579,0.5158,5,1242,2
dis_00117,sym_00475,1.5573,0.5191,3,1250,2
dis_00118,sym_00075,1.4988,0.4996,3,1212,2
dis_00118,sym_00079,1.5555,0.5185,3,1258,2
dis_00118,sym_00080,2.0644,0.5161,4,1252,2
dis_00118,sym_00081,1.4865,0.4955,3,1202,2
dis_00118,sym_00147,1.5606,0.5202,3,1262,2
dis_00118,sym_00176,1.5483,0.5161,3,1252,2
dis_00118,sym_00288,2.6135,0.5227,5,1268,2
dis_00118,sym_00371,1.5063,0.5021,3,1218,2
dis_00118,sym_00373,3.9012,0.9753,4,2366,2
dis_00118,sym_00405,1.5261,0.5087,3,1234,2
dis_00118,sym_00475,1.4889,0.4963,3,1204,2
dis_00119,sym_00068,1.4919,0.4973,3,854,2
dis_00119,sym_00079,1.4616,0.4872,3,837,2
dis_00119,sym_00080,2.1228,0.5307,4,912,2
dis_00119,sym_00147,1.5051,0.5017,3,862,2
dis_00119,sym_00288,2.5605,0.5121,5,880,2
dis_00119,sym_00371,1.521,0.507,3,871,2
dis_00119,sym_00373,4.0328,1.0082,4,1732,2
dis_00119,sym_00405,1.5642,0.5214,3,896,2
dis_00119,sym_00464,3.348,0.6696,5,1152,2
dis_00119,sym_00475,1.5504,0.5168,3,888,2
dis_00121,sym_00120,3.0,1.0,3,9,1
dis_00121,sym_00370,2.6667,0.8889,3,8,1
dis_00123,sym_00048,1.4571,0.4857,3,102,1
dis_00123,sym_00099,1.7142,0.5714,3,120,1
dis_00123,sym_00106,2.1858,0.7286,3,153,1
dis_00123,sym_00131,1.5144,0.5048,3,106,1
dis_00123,sym_00161,2.0856,0.6952,3,146,1
dis_00123,sym_00307,1.7001,0.5667,3,119,1
dis_00123,sym_00407,1.4142,0.4714,3,99,1
dis_00123,sym_00431,1.6143,0.5381,3,113,1
dis_00125,sym_00105,1.9584,0.4896,4,840,2
dis_00125,sym_00230,1.5159,0.5053,3,867,2
dis_00125,sym_00289,2.5725,0.5145,5,883,2
dis_00125,sym_00327,1.5069,0.5023,3,862,2
dis_00125,sym_00362,1.9896,0.6632,3,1140,2
dis_00125,sym_00370,1.5111,0.5037,3,864,2
dis_00125,sym_00371,1.4979,0.4993,3,857,2
dis_00125,sym_00373,1.9836,0.4959,4,851,2
dis_00125,sym_00435,1.4358,0.4786,3,821,2
dis_00125,sym_00464,2.66,0.532,5,913,2
dis_00125,sym_00470,1.602,0.534,3,917,2
dis_00126,sym_00079,1.959,0.653,3,446,1
dis_00126,sym_00080,1.9852,0.4963,4,339,1
dis_00126,sym_00098,1.9854,0.6618,3,452,1
dis_00126,sym_00112,1.5111,0.5037,3,344,1
dis_00126,sym_00147,1.5504,0.5168,3,353,1
dis_00126,sym_00150,1.4583,0.4861,3,332,1
dis_00126,sym_00288,2.489,0.4978,5,340,1
dis_00126,sym_00329,1.5813,0.5271,3,360,1
dis_00126,sym_00356,1.5504,0.5168,3,353,1
dis_00126,sym_00405,1.4757,0.4919,3,336,1
dis_00127,sym_00011,1.5261,0.5087,3,1228,2
dis_00127,sym_00035,1.5012,0.5004,3,1208,2
dis_00127,sym_00062,1.5759,0.5253,3,1268,2
dis_00127,sym_00093,1.5186,0.5062,3,1222,2
dis_00127,sym_00179,1.5261,0.5087,3,1228,2
dis_00127,sym_00262,1.4862,0.4954,3,1196,2
dis_00127,sym_00289,2.5765,0.5153,5,1244,2
dis_00127,sym_00370,1.4937,0.4979,3,1202,2
dis_00127,sym_00371,1.4715,0.4905,3,1184,2
dis_00127,sym_00380,1.479,0.493,3,1190,2
dis_00127,sym_00455,1.5138,0.5046,3,1218,2
dis_00127,sym_00464,2.5725,0.5145,5,1242,2
dis_00130,sym_00068,1.9491,0.6497,3,293,1
dis_00130,sym_00069,2.2416,0.7472,3,337,1
dis_00130,sym_00080,2.022,0.5055,4,228,1
dis_00130,sym_00091,1.5366,0.5122,3,231,1
dis_00130,sym_00147,1.5699,0.5233,3,236,1
dis_00130,sym_00371,1.5633,0.5211,3,235,1
dis_00130,sym_00373,4.0444,1.0111,4,456,1
dis_00130,sym_00475,1.5633,0.5211,3,235,1
dis_00131,sym_00079,1.6176,0.5392,3,935,2
dis_00131,sym_00080,2.0296,0.5074,4,880,2
dis_00131,sym_00081,1.5105,0.5035,3,873,2
dis_00131,sym_00112,1.572,0.524,3,909,2
dis_00131,sym_00136,1.5204,0.5068,3,879,2
dis_00131,sym_00147,1.488,0.496,3,860,2
dis_00131,sym_00166,1.56,0.52,3,902,2
dis_00131,sym_00288,2.445,0.489,5,848,2
dis_00131,sym_00313,1.4385,0.4795,3,831,2
dis_00131,sym_00382,1.599,0.533,3,924,2
dis_00131,sym_00405,1.9251,0.6417,3,1114,2
dis_00132,sym_00006,2.0109,0.6703,3,610,1
dis_00132,sym_00025,1.4703,0.4901,3,446,1
dis_00132,sym_00062,1.5165,0.5055,3,460,1
dis_00132,sym_00090,1.4934,0.4978,3,453,1
dis_00132,sym_00091,1.5363,0.5121,3,466,1
dis_00132,sym_00105,2.0528,0.5132,4,467,1
dis_00132,sym_00140,2.0352,0.5088,4,463,1
dis_00132,sym_00176,1.5495,0.5165,3,470,1
dis_00132,sym_00204,1.4967,0.4989,3,454,1
dis_00132,sym_00371,1.5957,0.5319,3,484,1
dis_00132,sym_00373,1.9648,0.4912,4,447,1
dis_00144,sym_00012,1.5615,0.5205,3,38,1
dis_00144,sym_00029,2.2602,0.7534,3,55,1
dis_00144,sym_00282,1.7808,0.8904,2,65,1
dis_00144,sym_00292,2.671,0.5342,5,39,1
dis_00144,sym_00376,1.5204,0.5068,3,37,1
dis_00144,sym_00377,1.767,0.589,3,43,1
dis_00146,sym_00025,1.515,0.505,3,254,1
dis_00146,sym_00089,2.1054,0.7018,3,353,1
dis_00146,sym_00090,2.004,0.668,3,336,1
dis_00146,sym_00122,1.491,0.497,3,250,1
dis_00146,sym_00141,1.5447,0.5149,3,259,1
dis_00146,sym_00190,1.5924,0.5308,3,267,1
dis_00146,sym_00204,2.0637,0.6879,3,346,1
dis_00146,sym_00296,1.4673,0.4891,3,246,1
dis_00146,sym_00361,2.515,0.503,5,253,1
dis_00149,sym_00025,2.5713,0.8571,3,30,1
dis_00149,sym_00038,2.4858,0.8286,3,29,1
dis_00149,sym_00370,1.7142,0.5714,3,20,1
dis_00149,sym_00373,3.6572,0.9143,4,32,1
dis_00150,sym_00098,3.0,1.0,3,3,1
dis_00150,sym_00105,4.0,1.0,4,3,1
dis_00190,sym_00011,1.4646,0.4882,3,249,1
dis_00190,sym_00025,1.4058,0.4686,3,239,1
dis_00190,sym_00090,1.5882,0.5294,3,270,1
dis_00190,sym_00091,1.4472,0.4824,3,246,1
dis_00190,sym_00108,1.5354,0.5118,3,261,1
dis_00190,sym_00190,2.0295,0.6765,3,345,1
dis_00190,sym_00259,1.5411,0.5137,3,262,1
dis_00190,sym_00402,2.0295,0.6765,3,345,1
dis_00190,sym_00465,2.0352,0.6784,3,346,1
dis_00191,sym_00006,2.1282,0.7094,3,249,1
dis_00191,sym_00011,1.6581,0.5527,3,194,1
dis_00191,sym_00025,2.1111,0.7037,3,247,1
dis_00191,sym_00090,1.5642,0.5214,3,183,1
dis_00191,sym_00091,1.6752,0.5584,3,196,1
dis_00191,sym_00337,2.0769,0.6923,3,243,1
dis_00191,sym_00371,2.0856,0.6952,3,244,1
dis_00191,sym_00464,2.7635,0.5527,5,194,1
dis_00193,sym_00006,1.5204,0.5068,3,337,1
dis_00193,sym_00011,1.5474,0.5158,3,343,1
dis_00193,sym_00023,1.5564,0.5188,3,345,1
dis_00193,sym_00089,1.4391,0.4797,3,319,1
dis_00193,sym_00091,1.9398,0.6466,3,430,1
dis_00193,sym_00105,2.6888,0.6722,4,447,1
dis_00193,sym_00137,1.5294,0.5098,3,339,1
dis_00193,sym_00368,1.5879,0.5293,3,352,1
dis_00193,sym_00371,1.5294,0.5098,3,339,1
dis_00193,sym_00464,2.669,0.5338,5,355,1
dis_00194,sym_00002,3.8,0.95,4,114,1
dis_00194,sym_00102,3.8,0.95,4,114,1
dis_00194,sym_00151,3.8,0.95,4,114,1
dis_00194,sym_00188,4.75,0.95,5,114,1
dis_00194,sym_00421,6.65,0.95,7,114,1
dis_00194,sym_00464,4.75,0.95,5,114,1
dis_00194,sym_00486,2.85,0.95,3,114,1
dis_00195,sym_00006,2.3538,0.7846,3,193,1
dis_00195,sym_00011,1.5366,0.5122,3,126,1
dis_00195,sym_00093,1.9512,0.6504,3,160,1
dis_00195,sym_00327,1.5732,0.5244,3,129,1
dis_00195,sym_00370,1.6098,0.5366,3,132,1
dis_00195,sym_00413,2.0001,0.6667,3,164,1
dis_00195,sym_00473,2.0367,0.6789,3,167,1
dis_00205,sym_00003,1.512,0.504,3,861,2
dis_00205,sym_00016,1.572,0.524,3,895,2
dis_00205,sym_00069,2.7,0.9,3,108,1
dis_00205,sym_00078,3.6,0.9,4,108,1
dis_00205,sym_00080,1.9444,0.4861,4,830,2
dis_00205,sym_00152,1.9566,0.6522,3,1116,2
dis_00205,sym_00216,1.5177,0.5059,3,864,2
dis_00205,sym_00219,1.5405,0.5135,3,877,2
dis_00205,sym_00248,1.4706,0.4902,3,837,2
dis_00205,sym_00327,1.5762,0.5254,3,897,2
dis_00205,sym_00372,4.5,0.9,5,108,1
dis_00205,sym_00395,1.5021,0.5007,3,855,2
dis_00205,sym_00396,1.551,0.517,3,883,2
dis_00205,sym_00425,1.4421,0.4807,3,821,2
dis_00205,sym_00469,3.6,0.9,4,108,1
dis_00206,sym_00016,2.0001,0.6667,3,26,1
dis_00206,sym_00080,3.1796,0.7949,4,31,1
dis_00206,sym_00084,2.3076,0.7692,3,30,1
dis_00206,sym_00288,3.3335,0.6667,5,26,1
dis_00206,sym_00405,2.9232,0.9744,3,38,1
dis_00207,sym_00014,2.0646,0.6882,3,234,1
dis_00207,sym_00145,1.5177,0.5059,3,172,1
dis_00207,sym_00209,1.5795,0.5265,3,179,1
dis_00207,sym_00219,2.1705,0.7235,3,246,1
dis_00207,sym_00385,1.5177,0.5059,3,172,1
dis_00207,sym_00395,1.5795,0.5265,3,179,1
dis_00207,sym_00396,2.1618,0.7206,3,245,1
dis_00207,sym_00446,1.4205,0.4735,3,161,1
dis_00231,sym_00089,1.6071,0.5357,3,180,1
dis_00231,sym_00090,1.5267,0.5089,3,171,1
dis_00231,sym_00091,1.6608,0.5536,3,186,1
dis_00231,sym_00097,1.6161,0.5387,3,181,1
dis_00231,sym_00103,1.5894,0.5298,3,178,1
dis_00231,sym_00128,2.25,0.75,3,252,1
dis_00231,sym_00190,2.0535,0.6845,3,230,1
dis_00231,sym_00209,2.0268,0.6756,3,227,1
dis_00237,sym_00084,2.298,0.766,3,36,1
dis_00237,sym_00099,1.9788,0.6596,3,31,1
dis_00237,sym_00129,1.9788,0.6596,3,31,1
dis_00237,sym_00307,1.5957,0.5319,3,25,1
dis_00237,sym_00345,2.6169,0.8723,3,41,1
dis_00249,sym_00025,3.0,1.0,3,4,1
dis_00249,sym_00373,3.0,0.75,4,3,1
dis_00249,sym_00482,3.0,1.0,3,4,1
dis_00257,sym_00006,2.7,0.9,3,54,1
dis_00257,sym_00096,2.6001,0.8667,3,52,1
dis_00257,sym_00097,2.4501,0.8167,3,49,1
dis_00257,sym_00240,2.1999,0.7333,3,44,1
dis_00257,sym_00470,2.1,0.7,3,42,1
dis_00261,sym_00052,1.4736,0.4912,3,111,1
dis_00261,sym_00066,1.5795,0.5265,3,119,1
dis_00261,sym_00076,1.9116,0.4779,4,108,1
dis_00261,sym_00262,1.5,0.5,3,113,1
dis_00261,sym_00310,1.5264,0.5088,3,115,1
dis_00261,sym_00353,1.4868,0.4956,3,112,1
dis_00261,sym_00370,1.6326,0.5442,3,123,1
dis_00261,sym_00459,2.5221,0.8407,3,190,1
dis_00262,sym_00052,2.55,0.85,3,17,1
dis_00262,sym_00268,2.7,0.9,3,18,1
dis_00262,sym_00310,1.65,0.55,3,11,1
dis_00262,sym_00353,1.95,0.65,3,13,1
dis_00271,sym_00066,2.3202,0.7734,3,256,1
dis_00271,sym_00105,2.26,0.565,4,187,1
dis_00271,sym_00140,1.9456,0.4864,4,161,1
dis_00271,sym_00273,1.6677,0.5559,3,184,1
dis_00271,sym_00299,2.0301,0.6767,3,224,1
dis_00271,sym_00373,2.1028,0.5257,4,174,1
dis_00271,sym_00465,2.0394,0.6798,3,225,1
dis_00271,sym_00470,1.6677,0.5559,3,184,1
dis_00273,sym_00020,1.44,0.48,3,24,1
dis_00273,sym_00140,2.0,0.5,4,25,1
dis_00273,sym_00327,1.62,0.54,3,27,1
dis_00273,sym_00352,2.52,0.84,3,42,1
dis_00273,sym_00373,2.24,0.56,4,28,1
dis_00273,sym_00470,1.98,0.66,3,33,1
dis_00274,sym_00096,1.7499,0.5833,3,7,1
dis_00274,sym_00140,3.0,0.75,4,9,1
dis_00274,sym_00148,2.7501,0.9167,3,11,1
dis_00274,sym_00373,2.6668,0.6667,4,8,1
dis_00276,sym_00105,3.7,0.925,4,37,1
dis_00276,sym_00120,1.875,0.625,3,25,1
dis_00276,sym_00145,2.85,0.95,3,38,1
dis_00276,sym_00470,1.5,0.5,3,20,1
dis_00284,sym_00029,1.5141,0.5047,3,874,2
dis_00284,sym_00068,1.524,0.508,3,880,2
dis_00284,sym_00105,1.9564,0.4891,4,847,2
dis_00284,sym_00191,1.9932,0.6644,3,1152,2
dis_00284,sym_00197,1.5054,0.5018,3,869,2
dis_00284,sym_00211,1.5171,0.5057,3,876,2
dis_00284,sym_00262,1.521,0.507,3,878,2
dis_00284,sym_00317,2.1064,0.5266,4,912,2
dis_00284,sym_00371,1.5567,0.5189,3,899,2
dis_00284,sym_00373,1.954,0.4885,4,846,2
dis_00284,sym_00417,1.5003,0.5001,3,866,2
dis_00292,sym_00012,1.5297,0.5099,3,309,1
dis_00292,sym_00035,1.4406,0.4802,3,291,1
dis_00292,sym_00116,1.5645,0.5215,3,316,1
dis_00292,sym_00184,1.4208,0.4736,3,287,1
dis_00292,sym_00233,1.515,0.505,3,306,1
dis_00292,sym_00242,1.4208,0.4736,3,287,1
dis_00292,sym_00255,1.5249,0.5083,3,308,1
dis_00292,sym_00262,1.4553,0.4851,3,294,1
dis_00292,sym_00319,2.2227,0.7409,3,449,1
dis_00292,sym_00411,1.515,0.505,3,306,1
dis_00307,sym_00006,1.5276,0.5092,3,1220,2
dis_00307,sym_00025,1.4775,0.4925,3,1180,2
dis_00307,sym_00090,1.5375,0.5125,3,1228,2
dis_00307,sym_00091,1.5501,0.5167,3,1238,2
dis_00307,sym_00141,1.515,0.505,3,1210,2
dis_00307,sym_00176,1.5225,0.5075,3,1216,2
dis_00307,sym_00197,1.4799,0.4933,3,1182,2
dis_00307,sym_00204,1.5477,0.5159,3,1236,2
dis_00307,sym_00211,1.5174,0.5058,3,1212,2
dis_00307,sym_00317,2.0032,0.5008,4,1200,2
dis_00307,sym_00371,1.5927,0.5309,3,1272,2
dis_00307,sym_00373,2.02,0.505,4,1210,2
dis_00310,sym_00137,1.5897,0.5299,3,239,1
dis_00310,sym_00167,1.3635,0.4545,3,205,1
dis_00310,sym_00211,2.3082,0.7694,3,347,1
dis_00310,sym_00266,1.5564,0.5188,3,234,1
dis_00310,sym_00317,2.1196,0.5299,4,239,1
dis_00310,sym_00327,1.4835,0.4945,3,223,1
dis_00310,sym_00371,2.0487,0.6829,3,308,1
dis_00310,sym_00373,4.124,1.031,4,465,1
dis_00312,sym_00099,2.3334,0.7778,3,7,1
dis_00312,sym_00128,2.3334,0.7778,3,7,1
dis_00312,sym_00407,1.6668,0.5556,3,5,1
dis_00312,sym_00431,3.0,1.0,3,9,1
dis_00315,sym_00080,2.672,0.668,4,163,1
dis_00315,sym_00147,1.6476,0.5492,3,134,1
dis_00315,sym_00176,2.5944,0.8648,3,211,1
dis_00315,sym_00277,1.6968,0.5656,3,138,1
dis_00315,sym_00278,1.6722,0.5574,3,136,1
dis_00315,sym_00405,1.6107,0.5369,3,131,1
dis_00315,sym_00444,1.5861,0.5287,3,129,1
dis_00315,sym_00447,1.5123,0.5041,3,123,1
dis_00319,sym_00140,2.0,0.5,4,35,1
dis_00319,sym_00147,1.2858,0.4286,3,30,1
dis_00319,sym_00238,2.7429,0.9143,3,64,1
dis_00319,sym_00289,2.5715,0.5143,5,36,1
dis_00319,sym_00400,1.7571,0.5857,3,41,1
dis_00319,sym_00470,1.7142,0.5714,3,40,1
dis_00321,sym_00062,1.5924,0.5308,3,908,2
dis_00321,sym_00086,1.9167,0.6389,3,1095,2
dis_00321,sym_00093,1.5075,0.5025,3,860,2
dis_00321,sym_00147,1.5189,0.5063,3,866,2
dis_00321,sym_00261,1.5663,0.5221,3,893,2
dis_00321,sym_00289,2.5625,0.5125,5,877,2
dis_00321,sym_00370,1.4376,0.4792,3,820,2
dis_00321,sym_00380,1.5303,0.5101,3,873,2
dis_00321,sym_00413,1.5375,0.5125,3,877,2
dis_00321,sym_00455,1.5204,0.5068,3,867,2
dis_00321,sym_00464,2.5685,0.5137,5,879,2
dis_03490,sym_00068,1.6164,0.5388,3,139,1
dis_03490,sym_00105,3.1164,0.7791,4,201,1
dis_03490,sym_00137,2.4999,0.8333,3,215,1
dis_03490,sym_00140,2.2324,0.5581,4,144,1
dis_03490,sym_00240,1.4187,0.4729,3,122,1
dis_03490,sym_00317,2.4188,0.6047,4,156,1
dis_03490,sym_00371,1.686,0.562,3,145,1
dis_03490,sym_00373,2.8684,0.7171,4,185,1
dis_03494,sym_00279,4.75,0.95,5,114,1
dis_03494,sym_00286,1.9,0.95,2,114,1
dis_03494,sym_00315,1.9,0.95,2,114,1
dis_03494,sym_00410,3.8,0.95,4,114,1
dis_03494,sym_00419,4.75,0.95,5,114,1
dis_03495,sym_00012,1.5249,0.5083,3,1230,2
dis_03495,sym_00035,1.5024,0.5008,3,1212,2
dis_03495,sym_00168,1.5174,0.5058,3,1224,2
dis_03495,sym_00184,1.5075,0.5025,3,1216,2
dis_03495,sym_00185,1.5174,0.5058,3,1224,2
dis_03495,sym_00227,1.4751,0.4917,3,1190,2
dis_03495,sym_00233,1.5447,0.5149,3,1246,2
dis_03495,sym_00242,1.4652,0.4884,3,1182,2
dis_03495,sym_00255,1.485,0.495,3,1198,2
dis_03495,sym_00262,1.4949,0.4983,3,1206,2
dis_03495,sym_00322,1.5819,0.5273,3,1276,2
dis_03495,sym_00337,1.5123,0.5041,3,1220,2
dis_03502,sym_00147,1.5834,0.5278,3,38,1
dis_03502,sym_00224,2.25,0.75,3,54,1
dis_03502,sym_00362,2.4999,0.8333,3,60,1
dis_03502,sym_00370,1.7916,0.5972,3,43,1
dis_03502,sym_00373,3.5556,0.8889,4,64,1
dis_03505,sym_00023,1.6065,0.5355,3,181,1
dis_03505,sym_00025,1.5354,0.5118,3,173,1
dis_03505,sym_00090,1.5711,0.5237,3,177,1
dis_03505,sym_00091,1.6863,0.5621,3,190,1
dis_03505,sym_00122,2.2632,0.7544,3,255,1
dis_03505,sym_00137,1.5177,0.5059,3,171,1
dis_03505,sym_00190,2.0058,0.6686,3,226,1
dis_03505,sym_00238,1.9971,0.6657,3,225,1
dis_03506,sym_00232,3.0,1.0,3,10,1
dis_03506,sym_00373,4.0,1.0,4,10,1
dis_03508,sym_00016,1.5711,0.5237,3,900,2
dis_03508,sym_00068,1.4619,0.4873,3,837,2
dis_03508,sym_00079,1.5192,0.5064,3,870,2
dis_03508,sym_00080,2.5992,0.6498,4,1009,3
dis_03508,sym_00081,1.9494,0.6498,3,1118,2
dis_03508,sym_00138,4.75,0.95,5,114,1
dis_03508,sym_00140,3.6,0.9,4,108,1
dis_03508,sym_00147,1.5276,0.5092,3,875,2
dis_03508,sym_00181,6.65,0.95,7,114,1
dis_03508,sym_00280,3.8,0.95,4,114,1
dis_03508,sym_00288,2.6845,0.5369,5,922,2
dis_03508,sym_00371,1.5174,0.5058,3,869,2
dis_03508,sym_00373,3.9268,0.9817,4,1828,3
dis_03508,sym_00475,1.5516,0.5172,3,889,2
dis_03509,sym_00099,1.5702,0.5234,3,168,1
dis_03509,sym_00106,1.9908,0.6636,3,213,1
dis_03509,sym_00129,2.0187,0.6729,3,216,1
dis_03509,sym_00161,1.4859,0.4953,3,159,1
dis_03509,sym_00239,1.5234,0.5078,3,163,1
dis_03509,sym_00307,2.3457,0.7819,3,251,1
dis_03509,sym_00407,1.5702,0.5234,3,168,1
dis_03509,sym_00431,1.5702,0.5234,3,168,1
dis_03517,sym_00080,2.4648,0.6162,4,61,1
dis_03517,sym_00105,3.3132,0.8283,4,82,1
dis_03517,sym_00176,2.5758,0.8586,3,85,1
dis_03517,sym_00371,1.788,0.596,3,59,1
dis_03517,sym_00373,2.5052,0.6263,4,62,1
dis_03517,sym_00405,2.1213,0.7071,3,70,1
dis_03523,sym_00003,2.0418,0.6806,3,260,1
dis_03523,sym_00157,1.5393,0.5131,3,196,1
dis_03523,sym_00159,1.5471,0.5157,3,197,1
dis_03523,sym_00208,2.0496,0.6832,3,261,1
dis_03523,sym_00384,1.5315,0.5105,3,195,1
dis_03523,sym_00387,2.0889,0.6963,3,266,1
dis_03523,sym_00395,1.4451,0.4817,3,184,1
dis_03523,sym_00396,1.9869,0.6623,3,253,1
dis_03524,sym_00120,2.4084,0.8028,3,57,1
dis_03524,sym_00194,1.9014,0.6338,3,45,1
dis_03524,sym_00362,2.3238,0.7746,3,55,1
dis_03524,sym_00416,2.7042,0.9014,3,64,1
dis_03524,sym_00430,1.6056,0.5352,3,38,1
dis_03526,sym_00087,1.5882,0.5294,3,36,1
dis_03526,sym_00105,2.4704,0.6176,4,42,1
dis_03526,sym_00140,2.1176,0.5294,4,36,1
dis_03526,sym_00197,1.8087,0.6029,3,41,1
dis_03526,sym_00211,1.4559,0.4853,3,33,1
dis_03526,sym_00317,2.5884,0.6471,4,44,1
dis_03526,sym_00371,1.6323,0.5441,3,37,1
dis_03526,sym_00373,2.3528,0.5882,4,40,1
dis_03528,sym_00068,1.4874,0.4958,3,119,1
dis_03528,sym_00165,1.6374,0.5458,3,131,1
dis_03528,sym_00197,1.725,0.575,3,138,1
dis_03528,sym_00211,1.7874,0.5958,3,143,1
dis_03528,sym_00317,2.2332,0.5583,4,134,1
dis_03528,sym_00371,2.5251,0.8417,3,202,1
dis_03528,sym_00373,2.1332,0.5333,4,128,1
dis_03528,sym_00427,2.0625,0.6875,3,165,1
dis_03531,sym_00003,1.596,0.532,3,233,1
dis_03531,sym_00014,2.322,0.774,3,339,1
dis_03531,sym_00248,2.0001,0.6667,3,292,1
dis_03531,sym_00385,1.6302,0.5434,3,238,1
dis_03531,sym_00386,1.6164,0.5388,3,236,1
dis_03531,sym_00387,1.6302,0.5434,3,238,1
dis_03531,sym_00388,1.548,0.516,3,226,1
dis_03531,sym_00396,1.4727,0.4909,3,215,1
dis_03531,sym_00477,1.3974,0.4658,3,204,1
dis_03532,sym_00053,2.3343,0.7781,3,256,1
dis_03532,sym_00165,1.5684,0.5228,3,172,1
dis_03532,sym_00207,1.5318,0.5106,3,168,1
